Name,StartTime,EndTime,Duration(s),Id,ParentId,RootId,fileName,project,qualifiedNameOfFile,userOpName,length,cache,cpuDelta(s),realDelta(s),gc0,gc1,gc2,outputDllFile,buildPhase
Import mscorlib+FSharp.Core,14-33-17.5030,14-33-17.7717,000.2687,00-359ddece1b40fa8339a410e66aadd424-c1b17c22c32e7075-00,00-359ddece1b40fa8339a410e66aadd424-e5724cf67001ddc6-00,359ddece1b40fa8339a410e66aadd424,,,,,,,,,,,,,
ParseAndCheckFile.parseFile,14-33-17.7842,14-33-17.8185,000.0343,00-359ddece1b40fa8339a410e66aadd424-5a44b9c023cc7f5e-00,00-359ddece1b40fa8339a410e66aadd424-d7b14eaf667a4779-00,359ddece1b40fa8339a410e66aadd424,"C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\build\obj\Debug\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.fs",,,,,,,,,,,,Parse
ParseAndCheckFile.parseFile,14-33-17.7842,14-33-17.8199,000.0357,00-359ddece1b40fa8339a410e66aadd424-3873d1f12d38a398-00,00-359ddece1b40fa8339a410e66aadd424-d7b14eaf667a4779-00,359ddece1b40fa8339a410e66aadd424,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\build\obj\Debug\net7.0\build.AssemblyInfo.fs,,,,,,,,,,,,Parse
ParseAndCheckFile.parseFile,14-33-17.7842,14-33-17.8249,000.0407,00-359ddece1b40fa8339a410e66aadd424-c92c9603ff08a12d-00,00-359ddece1b40fa8339a410e66aadd424-d7b14eaf667a4779-00,359ddece1b40fa8339a410e66aadd424,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\build\build.fs,,,,,,,,,,,,Parse
Parse inputs,14-33-17.7745,14-33-17.8266,000.0522,00-359ddece1b40fa8339a410e66aadd424-d7b14eaf667a4779-00,00-359ddece1b40fa8339a410e66aadd424-e5724cf67001ddc6-00,359ddece1b40fa8339a410e66aadd424,,,,,,,,,,,,,
Import non-system references,14-33-17.8267,14-33-17.8814,000.0547,00-359ddece1b40fa8339a410e66aadd424-d0ec20f728df620b-00,00-359ddece1b40fa8339a410e66aadd424-e5724cf67001ddc6-00,359ddece1b40fa8339a410e66aadd424,,,,,,,,,,,,,
CheckDeclarations.CheckOneImplFile,14-33-17.9247,14-33-18.0023,000.0776,00-359ddece1b40fa8339a410e66aadd424-5a5a1f85e58eab7a-00,00-359ddece1b40fa8339a410e66aadd424-880098b620553186-00,359ddece1b40fa8339a410e66aadd424,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\build\obj\Debug\net7.0\build.AssemblyInfo.fs,,Build.AssemblyInfo,,,,,,,,,,
CheckDeclarations.CheckOneImplFile,14-33-17.9247,14-33-18.0023,000.0776,00-359ddece1b40fa8339a410e66aadd424-a9c73b3f6be276e5-00,00-359ddece1b40fa8339a410e66aadd424-880098b620553186-00,359ddece1b40fa8339a410e66aadd424,"C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\build\obj\Debug\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.fs",,".NETCoreApp,Version=v7.0.AssemblyAttributes",,,,,,,,,,
CheckDeclarations.CheckOneImplFile,14-33-17.9247,14-33-18.2230,000.2982,00-359ddece1b40fa8339a410e66aadd424-b545320e7c4f13b4-00,00-359ddece1b40fa8339a410e66aadd424-880098b620553186-00,359ddece1b40fa8339a410e66aadd424,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\build\build.fs,,Build,,,,,,,,,,
Typecheck,14-33-17.8815,14-33-18.2245,000.3431,00-359ddece1b40fa8339a410e66aadd424-880098b620553186-00,00-359ddece1b40fa8339a410e66aadd424-e5724cf67001ddc6-00,359ddece1b40fa8339a410e66aadd424,,,,,,,,,,,,,
