Name,StartTime,EndTime,Duration(s),Id,ParentId,RootId,fileName,project,qualifiedNameOfFile,userOpName,length,cache,cpuDelta(s),realDelta(s),gc0,gc1,gc2,outputDllFile,buildPhase
Import mscorlib+FSharp.Core,14-33-36.4188,14-33-36.5943,000.1755,00-9212f3c7ffe6798535539afb4c601e17-50e2e0377796ef44-00,00-9212f3c7ffe6798535539afb4c601e17-d1fbb1930a14eea1-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
ParseAndCheckFile.parseFile,14-33-36.6059,14-33-36.6397,000.0338,00-9212f3c7ffe6798535539afb4c601e17-27c9e290eaa106bc-00,00-9212f3c7ffe6798535539afb4c601e17-636cd99b2180f3b8-00,9212f3c7ffe6798535539afb4c601e17,"C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\src\FsToolkit.ErrorHandling.AsyncSeq\obj\Debug\netstandard2.0\.NETStandard,Version=v2.0.AssemblyAttributes.fs",,,,,,,,,,,,Parse
ParseAndCheckFile.parseFile,14-33-36.6059,14-33-36.6411,000.0352,00-9212f3c7ffe6798535539afb4c601e17-7745b48e6b166904-00,00-9212f3c7ffe6798535539afb4c601e17-636cd99b2180f3b8-00,9212f3c7ffe6798535539afb4c601e17,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\src\FsToolkit.ErrorHandling.AsyncSeq\obj\Debug\netstandard2.0\FsToolkit.ErrorHandling.AsyncSeq.AssemblyInfo.fs,,,,,,,,,,,,Parse
ParseAndCheckFile.parseFile,14-33-36.6059,14-33-36.6430,000.0371,00-9212f3c7ffe6798535539afb4c601e17-157274c85238eb79-00,00-9212f3c7ffe6798535539afb4c601e17-636cd99b2180f3b8-00,9212f3c7ffe6798535539afb4c601e17,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\src\FsToolkit.ErrorHandling.AsyncSeq\Library.fs,,,,,,,,,,,,Parse
Parse inputs,14-33-36.5970,14-33-36.6439,000.0469,00-9212f3c7ffe6798535539afb4c601e17-636cd99b2180f3b8-00,00-9212f3c7ffe6798535539afb4c601e17-d1fbb1930a14eea1-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Import non-system references,14-33-36.6439,14-33-36.6511,000.0072,00-9212f3c7ffe6798535539afb4c601e17-32a64cea8e51957b-00,00-9212f3c7ffe6798535539afb4c601e17-d1fbb1930a14eea1-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
CheckDeclarations.CheckOneImplFile,14-33-36.7039,14-33-36.7786,000.0747,00-9212f3c7ffe6798535539afb4c601e17-f5ab0a4b35d84108-00,00-9212f3c7ffe6798535539afb4c601e17-f2689189e5ac3b2a-00,9212f3c7ffe6798535539afb4c601e17,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\src\FsToolkit.ErrorHandling.AsyncSeq\obj\Debug\netstandard2.0\FsToolkit.ErrorHandling.AsyncSeq.AssemblyInfo.fs,,FsToolkit.ErrorHandling.AsyncSeq.AssemblyInfo,,,,,,,,,,
CheckDeclarations.CheckOneImplFile,14-33-36.7039,14-33-36.7786,000.0747,00-9212f3c7ffe6798535539afb4c601e17-fcccf384712b866d-00,00-9212f3c7ffe6798535539afb4c601e17-f2689189e5ac3b2a-00,9212f3c7ffe6798535539afb4c601e17,"C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\src\FsToolkit.ErrorHandling.AsyncSeq\obj\Debug\netstandard2.0\.NETStandard,Version=v2.0.AssemblyAttributes.fs",,".NETStandard,Version=v2.0.AssemblyAttributes",,,,,,,,,,
CheckDeclarations.CheckOneImplFile,14-33-36.7039,14-33-36.8901,000.1861,00-9212f3c7ffe6798535539afb4c601e17-ac1d33cb6365877b-00,00-9212f3c7ffe6798535539afb4c601e17-f2689189e5ac3b2a-00,9212f3c7ffe6798535539afb4c601e17,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\src\FsToolkit.ErrorHandling.AsyncSeq\Library.fs,,Library,,,,,,,,,,
Typecheck,14-33-36.6512,14-33-36.8924,000.2412,00-9212f3c7ffe6798535539afb4c601e17-f2689189e5ac3b2a-00,00-9212f3c7ffe6798535539afb4c601e17-d1fbb1930a14eea1-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Typechecked,14-33-36.8924,14-33-36.8928,000.0003,00-9212f3c7ffe6798535539afb4c601e17-8e7560f791508eb1-00,00-9212f3c7ffe6798535539afb4c601e17-d1fbb1930a14eea1-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Write Interface File,14-33-36.8928,14-33-36.8928,000.0000,00-9212f3c7ffe6798535539afb4c601e17-72384be7bd4bbd67-00,00-9212f3c7ffe6798535539afb4c601e17-d1fbb1930a14eea1-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Write XML doc signatures,14-33-36.8928,14-33-36.8931,000.0003,00-9212f3c7ffe6798535539afb4c601e17-df03a4c88c681e73-00,00-9212f3c7ffe6798535539afb4c601e17-d1fbb1930a14eea1-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Write XML docs,14-33-36.8931,14-33-36.8946,000.0014,00-9212f3c7ffe6798535539afb4c601e17-f689af460d03b6e8-00,00-9212f3c7ffe6798535539afb4c601e17-d1fbb1930a14eea1-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Encode Interface Data,14-33-36.8946,14-33-36.9344,000.0398,00-9212f3c7ffe6798535539afb4c601e17-711cd7fd07ca89eb-00,00-9212f3c7ffe6798535539afb4c601e17-d1fbb1930a14eea1-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Optimizations,14-33-36.9344,14-33-36.9967,000.0623,00-9212f3c7ffe6798535539afb4c601e17-3d35d7666b1f9147-00,00-9212f3c7ffe6798535539afb4c601e17-d1fbb1930a14eea1-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Ending Optimizations,14-33-36.9968,14-33-36.9968,000.0000,00-9212f3c7ffe6798535539afb4c601e17-a90dfd0f621612d4-00,00-9212f3c7ffe6798535539afb4c601e17-d1fbb1930a14eea1-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Encoding OptData,14-33-36.9968,14-33-37.0088,000.0120,00-9212f3c7ffe6798535539afb4c601e17-9fdd047e782b9935-00,00-9212f3c7ffe6798535539afb4c601e17-d1fbb1930a14eea1-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
TAST -> IL,14-33-37.0089,14-33-37.1619,000.1530,00-9212f3c7ffe6798535539afb4c601e17-2823b79c975d9592-00,00-9212f3c7ffe6798535539afb4c601e17-d1fbb1930a14eea1-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Write Started,14-33-37.1643,14-33-37.1706,000.0062,00-9212f3c7ffe6798535539afb4c601e17-229496861e2e989c-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Module Generation Preparation,14-33-37.1706,14-33-37.1708,000.0002,00-9212f3c7ffe6798535539afb4c601e17-e01437cb82541591-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Module Generation Pass 1,14-33-37.1709,14-33-37.1761,000.0052,00-9212f3c7ffe6798535539afb4c601e17-f1d083b87df72454-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Module Generation Pass 2,14-33-37.1762,14-33-37.1866,000.0104,00-9212f3c7ffe6798535539afb4c601e17-ca63f5cfdd00936b-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Module Generation Pass 3,14-33-37.1866,14-33-37.1893,000.0027,00-9212f3c7ffe6798535539afb4c601e17-dd1e2bd5c52b1f17-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Module Generation Pass 4,14-33-37.1894,14-33-37.1901,000.0007,00-9212f3c7ffe6798535539afb4c601e17-8886846faf09b7aa-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Finalize Module Generation Results,14-33-37.1901,14-33-37.1904,000.0002,00-9212f3c7ffe6798535539afb4c601e17-8614c94002f10b39-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Generated Tables and Code,14-33-37.1904,14-33-37.1934,000.0030,00-9212f3c7ffe6798535539afb4c601e17-1ec8f4f3d5e492ed-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Layout Header of Tables,14-33-37.1935,14-33-37.1935,000.0000,00-9212f3c7ffe6798535539afb4c601e17-c1a5d9cc510cb739-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Build String/Blob Address Tables,14-33-37.1935,14-33-37.1949,000.0014,00-9212f3c7ffe6798535539afb4c601e17-20a8e81d63ef701d-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Sort Tables,14-33-37.1949,14-33-37.1949,000.0000,00-9212f3c7ffe6798535539afb4c601e17-ab95a4cd1e1c0ba2-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Write Header of tablebuf,14-33-37.1949,14-33-37.1952,000.0002,00-9212f3c7ffe6798535539afb4c601e17-37409f72a1ecfc3f-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Write Tables to tablebuf,14-33-37.1952,14-33-37.1952,000.0000,00-9212f3c7ffe6798535539afb4c601e17-fe7ed4fc7ae13a51-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Layout Metadata,14-33-37.1952,14-33-37.1952,000.0000,00-9212f3c7ffe6798535539afb4c601e17-d18a261000be6390-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Write Metadata Header,14-33-37.1952,14-33-37.1952,000.0000,00-9212f3c7ffe6798535539afb4c601e17-ace026cb2442df28-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Write Metadata Tables,14-33-37.1952,14-33-37.1952,000.0000,00-9212f3c7ffe6798535539afb4c601e17-6b24fa50111d2e9d-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Write Metadata Strings,14-33-37.1952,14-33-37.1952,000.0000,00-9212f3c7ffe6798535539afb4c601e17-e5b53dec6bb30de4-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
