Name,StartTime,EndTime,Duration(s),Id,ParentId,RootId,fileName,project,qualifiedNameOfFile,userOpName,length,cache,cpuDelta(s),realDelta(s),gc0,gc1,gc2,outputDllFile,buildPhase
Import mscorlib+FSharp.Core,14-33-39.5497,14-33-39.7075,000.1578,00-afa232a92148bae80d9ae0631435e223-afe1983b6fb6216d-00,00-afa232a92148bae80d9ae0631435e223-e12024034f49cb42-00,afa232a92148bae80d9ae0631435e223,,,,,,,,,,,,,
ParseAndCheckFile.parseFile,14-33-39.7222,14-33-39.7573,000.0351,00-afa232a92148bae80d9ae0631435e223-717cdd3745d9e89f-00,00-afa232a92148bae80d9ae0631435e223-577d0e814b1f6f4a-00,afa232a92148bae80d9ae0631435e223,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\src\FsToolkit.ErrorHandling.JobResult\JobResultOptionCE.fs,,,,,,,,,,,,Parse
ParseAndCheckFile.parseFile,14-33-39.7222,14-33-39.7573,000.0351,00-afa232a92148bae80d9ae0631435e223-5b01d274d838689e-00,00-afa232a92148bae80d9ae0631435e223-577d0e814b1f6f4a-00,afa232a92148bae80d9ae0631435e223,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\src\FsToolkit.ErrorHandling.JobResult\Result.fs,,,,,,,,,,,,Parse
ParseAndCheckFile.parseFile,14-33-39.7222,14-33-39.7573,000.0351,00-afa232a92148bae80d9ae0631435e223-c14ea6ce361759f5-00,00-afa232a92148bae80d9ae0631435e223-577d0e814b1f6f4a-00,afa232a92148bae80d9ae0631435e223,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\src\FsToolkit.ErrorHandling.JobResult\List.fs,,,,,,,,,,,,Parse
ParseAndCheckFile.parseFile,14-33-39.7222,14-33-39.7573,000.0351,00-afa232a92148bae80d9ae0631435e223-0ac7db1307ebad6c-00,00-afa232a92148bae80d9ae0631435e223-577d0e814b1f6f4a-00,afa232a92148bae80d9ae0631435e223,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\src\FsToolkit.ErrorHandling.JobResult\JobResultOp.fs,,,,,,,,,,,,Parse
ParseAndCheckFile.parseFile,14-33-39.7222,14-33-39.7573,000.0351,00-afa232a92148bae80d9ae0631435e223-2c34a57d36fe3209-00,00-afa232a92148bae80d9ae0631435e223-577d0e814b1f6f4a-00,afa232a92148bae80d9ae0631435e223,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\src\FsToolkit.ErrorHandling.JobResult\JobOption.fs,,,,,,,,,,,,Parse
ParseAndCheckFile.parseFile,14-33-39.7223,14-33-39.7573,000.0350,00-afa232a92148bae80d9ae0631435e223-f3eae179c09cd67f-00,00-afa232a92148bae80d9ae0631435e223-577d0e814b1f6f4a-00,afa232a92148bae80d9ae0631435e223,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\src\FsToolkit.ErrorHandling.JobResult\JobOptionOp.fs,,,,,,,,,,,,Parse
ParseAndCheckFile.parseFile,14-33-39.7222,14-33-39.7573,000.0351,00-afa232a92148bae80d9ae0631435e223-8b0b85fa7f586c4e-00,00-afa232a92148bae80d9ae0631435e223-577d0e814b1f6f4a-00,afa232a92148bae80d9ae0631435e223,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\src\FsToolkit.ErrorHandling.JobResult\JobResultOption.fs,,,,,,,,,,,,Parse
ParseAndCheckFile.parseFile,14-33-39.7222,14-33-39.7574,000.0352,00-afa232a92148bae80d9ae0631435e223-3a96f758a36ce0a6-00,00-afa232a92148bae80d9ae0631435e223-577d0e814b1f6f4a-00,afa232a92148bae80d9ae0631435e223,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\src\FsToolkit.ErrorHandling.JobResult\Job.fs,,,,,,,,,,,,Parse
ParseAndCheckFile.parseFile,14-33-39.7222,14-33-39.7573,000.0351,00-afa232a92148bae80d9ae0631435e223-7df7f14d44b41b23-00,00-afa232a92148bae80d9ae0631435e223-577d0e814b1f6f4a-00,afa232a92148bae80d9ae0631435e223,"C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\src\FsToolkit.ErrorHandling.JobResult\obj\Debug\netstandard2.0\.NETStandard,Version=v2.0.AssemblyAttributes.fs",,,,,,,,,,,,Parse
ParseAndCheckFile.parseFile,14-33-39.7222,14-33-39.7573,000.0351,00-afa232a92148bae80d9ae0631435e223-dee8b8aa3b3309b9-00,00-afa232a92148bae80d9ae0631435e223-577d0e814b1f6f4a-00,afa232a92148bae80d9ae0631435e223,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\src\FsToolkit.ErrorHandling.JobResult\JobResultOptionOp.fs,,,,,,,,,,,,Parse
ParseAndCheckFile.parseFile,14-33-39.7222,14-33-39.7591,000.0369,00-afa232a92148bae80d9ae0631435e223-8c979f63b97680c4-00,00-afa232a92148bae80d9ae0631435e223-577d0e814b1f6f4a-00,afa232a92148bae80d9ae0631435e223,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\src\FsToolkit.ErrorHandling.JobResult\JobResultCE.fs,,,,,,,,,,,,Parse
ParseAndCheckFile.parseFile,14-33-39.7222,14-33-39.7591,000.0369,00-afa232a92148bae80d9ae0631435e223-765e3ff47452aeb6-00,00-afa232a92148bae80d9ae0631435e223-577d0e814b1f6f4a-00,afa232a92148bae80d9ae0631435e223,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\src\FsToolkit.ErrorHandling.JobResult\obj\Debug\netstandard2.0\FsToolkit.ErrorHandling.JobResult.AssemblyInfo.fs,,,,,,,,,,,,Parse
ParseAndCheckFile.parseFile,14-33-39.7222,14-33-39.7591,000.0369,00-afa232a92148bae80d9ae0631435e223-6abe0579276228a5-00,00-afa232a92148bae80d9ae0631435e223-577d0e814b1f6f4a-00,afa232a92148bae80d9ae0631435e223,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\src\FsToolkit.ErrorHandling.JobResult\JobOptionCE.fs,,,,,,,,,,,,Parse
ParseAndCheckFile.parseFile,14-33-39.7222,14-33-39.7591,000.0369,00-afa232a92148bae80d9ae0631435e223-521e4b3292613b66-00,00-afa232a92148bae80d9ae0631435e223-577d0e814b1f6f4a-00,afa232a92148bae80d9ae0631435e223,C:\Users\jimmy\Repositories\public\demystifyfp\FsToolkit.ErrorHandling\src\FsToolkit.ErrorHandling.JobResult\JobResult.fs,,,,,,,,,,,,Parse
Parse inputs,14-33-39.7102,14-33-39.7610,000.0508,00-afa232a92148bae80d9ae0631435e223-577d0e814b1f6f4a-00,00-afa232a92148bae80d9ae0631435e223-e12024034f49cb42-00,afa232a92148bae80d9ae0631435e223,,,,,,,,,,,,,
